 А

а-ля                                И.п.

 Б

без                                 Р.п.
без ведома                          Р.п.
безо                                Р.п.
благодаря                           Д.п.
близ                                Р.п.
близко от                           Р.п.

 В

в                                   В.п., П.п.
в виде                              Р.п.
в зависимости от                    Р.п.
в знак                              Р.п.
в интересах                         Р.п.
в качестве                          Р.п.
в контраст                          Д.п.
в лице                              Р.п.
в области                           Р.п.
в отличие от                        Р.п.
в отношении                         Р.п.
в пандан                            Д.п., Р.п.
в пользу                            ?
в преддверии                        Р.п.
в продолжение                       Р.п.
в противовес                        Д.п.
в противоположность                 Д.п.
в результате                        Р.п.
в роли                              Р.п.
в связи с                           Т.п.
в силу                              Р.п.
в случае                            Р.п.
в соответствии с                    Т.п.
в течение                           Р.п.
в ходе                              ?
в целях                             Р.п.
в честь                             Р.п.
вблизи                              Р.п.
ввиду                               Р.п.
вглубь                              Р.п.
вдогон                              Д.п.
вдоль                               Р.п.
вдоль по                            Д.п.
взамен                              Р.п.
включая                             В.п.
вкруг                               Р.п.
вместо                              Р.п.
вне                                 Р.п.
внизу                               Р.п.
внутри                              Р.п.
внутрь                              Р.п.
во                                  В.п., П.п.
во благо                            Д.п., Р.п.
во время                            Р.п.
во имя                              Р.п.
во славу                            Р.п.
вовнутрь                            Р.п.
возле                               Р.п.
вокруг                              Р.п.
вопреки                             Д.п.
вослед                              Д.п.
впереди                             Р.п.
вплоть до                           Р.п.
впредь до                           Р.п.
вразрез                             Т.п.
вроде                               Р.п.
вслед                               Д.п.
вслед за                            Т.п.
вследствие                          Р.п.
встречу                             ?
выключая                            В.п.

 Д

для                                 Р.п.
для-ради                            ?
до                                  Р.п.

 З

за                                  В.п., Т.п.
за вычетом                          Р.п.
за исключением                      Р.п.
за счёт                             Р.п.
замест                              Р.п.
заместо                             Р.п.

 И

из                                  Р.п.
из-за                               Р.п.
из-под                              Р.п.
из-подо                             ?
изнутри                             Р.п.
изо                                 Р.п.
исключая                            Р.п., В.п.
исходя из                           Р.п.

 К

к                                   Д.п.
касаемо                             Р.п.
касательно                          Р.п.
ко                                  Д.п.
кончая                              Т.п.
кроме                               Р.п.
кругом                              Р.п.

 Л

лицом к                             Д.п.
лицом к лицу с                      Т.п.

 М

меж                                 Р.п., Т.п.
между                               Р.п., Т.п.
мимо                                Р.п.

 Н

на                                  В.п., П.п.
на благо                            Д.п., Р.п.
на виду у                           Р.п.
на глазах у                         Р.п.
на предмет                          Р.п.
на протяжении                       Р.п.
наверху                             Р.п.
навроде                             ?
навстречу                           Д.п.
над                                 Т.п.
надо                                Т.п.
назад                               ?
назади                              ?
накануне                            Р.п.
наместо                             Р.п.
наперекор                           Д.п.
наперерез                           Д.п.
наперехват                          Д.п.
наподобие                           Р.п.
напротив                            Р.п.
наряду с                            Т.п.
насупротив                          Р.п.
насчёт                              Р.п.
начиная с                           Р.п.
не без                              Р.п.
не считая                           Р.п.
не в пример                         Д.п.
невзирая на                         В.п.
недалеко от                         Р.п.
независимо от                       Р.п.
несмотря                            ?
несмотря на                         В.п.
ниже                                Р.п.

 О

о                                   В.п., П.п.
об                                  В.п., П.п.
обо                                 В.п., П.п.
обок                                Р.п.
обочь                               ?
около                               Р.п.
окрест                              Р.п.
окроме                              Р.п.
окромя                              Р.п.
округ                               Р.п.
опосля                              Р.п.
опричь                              ?
от                                  Р.п.
от имени                            Р.п.
от лица                             Р.п.
относительно                        Р.п.
ото                                 Р.п.

 П

перед                               Т.п.
передо                              Т.п.
по                                  В.п., Д.п., П.п.
по линии                            Р.п.
по мере                             Р.п.
по направлению к                    Д.п.
по отношению к                      Д.п.
по поводу                           Р.п.
по причине                          Р.п.
по случаю                           Р.п.
по сравнению с                      Т.п.
по-за                               В.п.
по-над                              Т.п.
по-под                              ?
поблизости от                       Р.п.
повдоль                             ?
поверх                              Р.п.
под                                 В.п., Т.п.
под видом                           Р.п.
под эгидой                          Р.п.
подле                               Р.п.
подо                                В.п., Т.п.
подобно                             Д.п.
позади                              Р.п.
позадь                              ?
позднее                             Р.п.
помимо                              Р.п.
поперёд                             ?
поперед                             ?
поперёк                             Р.п.
порядка                             ?
посверху                            ?
посередине                          Р.п.
посерёдке                           Р.п.
посередь                            Р.п.
после                               Р.п.
посреди                             Р.п.
посредине                           Р.п.
посредством                         Р.п.
пред                                Т.п.
предо                               Т.п.
прежде                              Р.п.
при                                 П.п.
при помощи                          Р.п.
применительно к                     Д.п.
про                                 В.п.
промеж                              Р.п., Т.п.
против                              Р.п.
противно                            ?
противу                             Р.п.
путём                               Р.п.

 Р

ради                                Р.п.
рядом с                             Т.п.

 С

с                                   В.п., Р.п., Т.п.
с ведома                            Р.п.
с помощью                           Р.п.
с прицелом на                       В.п.
с точки зрения                      Р.п.
с целью                             Р.п.
сверх                               Р.п.
сверху                              Р.п.
свыше                               Р.п.
середи                              Р.п.
середь                              Р.п.
сзади                               Р.п.
сквозь                              В.п.
скрозь                              В.п.
следом за                           Т.п.
смотря по                           Д.п.
снизу                               Р.п.
со                                  В.п., Р.п., Т.п.
со стороны                          Р.п.
согласно                            Д.п.
согласно с                          Д.п.
сообразно                           Д.п.
соответственно                      Д.п.
соразмерно                          Д.п.
спустя                              В.п.
среди                               Р.п.
средь                               Р.п.
сродни                              Д.п.
судя по                             Д.п.
супротив                            Р.п.
считая                              В.п.

 У

у                                   Р.п.

 Ч

через                               В.п.
черезо                              В.п.
чрез                                В.п.
